organization,count
noaa-gov,101415
census-gov,77116
doi-gov,37647
nasa-gov,22405
epa-gov,6207
edac-unm-edu,5459
ca-gov,4185
doe-gov,3417
city-of-austin,3029
city-of-new-york,2855
usda-gov,2771
hhs-gov,2312
usaid-gov,1991
district-of-columbia,1792
doc-gov,1632
lake-county-illinois,1474
doj-gov,1425
state-of-maryland,1423
state-of-washington,1411
va-gov,1156
dhs-gov,1093
national-institute-of-standards-and-technology,1087
ssa-gov,1037
state-of-new-york,1036
city-of-chicago,1007
state-of-iowa,981
state-of-alaska,943
ed-gov,863
dot-gov,819
state-of-connecticut,655
louisville-metro-government,635
opentopography,589
city-of-tempe,559
cook-county-of-illinois,534
state-of-oregon,470
dol-gov,463
montgomery-county-of-maryland,452
city-of-los-angeles,384
state-gov,381
state-of-oklahoma,340
allegheny-county-city-of-pittsburgh-western-pa-regional-data-center,328
king-county-washington,298
city-of-ferndale-michigan,285
city-of-bloomington,255
city-of-baton-rouge,249
fema-gov,248
treasury-gov,233
hud-gov,220
city-of-providence,211
federal-laboratory-consortium,200
city-of-sioux-falls,199
city-of-new-orleans,189
mcc-gov,182
vcgi-org,177
arlington-county,176
dod-gov,175
state-of-missouri,168
gsa-gov,167
board-of-governors-of-the-federal-reserve-system,166
state-of-hawaii,151
loudoun-county-virginia,142
nitrd-gov,137
eeoc-gov,136
opm-gov,134
uidaho-edu,111
federal-trade-commission,95
fairfax-county-virginia,94
usitc-gov,92
arkansas-gov,85
rrb-gov,82
ibwc-gov,79
city-of-honolulu,75
nrc-gov,75
nsf-gov,69
city-of-hartford,66
town-of-cary-north-carolina,66
sba-gov,57
fcc-gov,53
nara-gov,50
neh-gov,48
americorps-gov,47
city-of-baltimore,43
imls-gov,42
city-of-somerville,41
sec-gov,39
fhfa-gov,38
national-credit-union-administration,36
town-of-chapel-hill-north-carolina,32
u-s-department-of-labor-bureau-of-labor-statistics,31
usgs-gov,28
city-of-chesapeake,21
cfpb-gov,11
pbgc-gov,10
fdic-gov,9
library-of-congress,9
cpsc-gov,8
commodity-futures-trading-commission,7
eac-gov,6
federal-retirement-thrift-investment-board,6
city-of-san-francisco,4
onhir-gov,4
florida-department-of-environmental-protection,3
office-of-management-and-budget,3
usace-army-mil,3
mspb-gov,2
national-telecommunications-and-information-administration,2
pennsylvania-geospatial-data-clearinghouse,2
city-of-seattle,1
exim-gov,1
fec-gov,1
fgdc-gov,1
ntsb-gov,1
wvu-edu,1
