organization,count
noaa-gov,105119
census-gov,77116
doi-gov,37654
nasa-gov,22381
epa-gov,6273
edac-unm-edu,5459
ca-gov,3801
doe-gov,3648
city-of-austin,3071
city-of-new-york,2822
usda-gov,2796
hhs-gov,2312
usaid-gov,2027
district-of-columbia,1777
doc-gov,1632
lake-county-illinois,1474
state-of-washington,1432
doj-gov,1425
state-of-maryland,1420
va-gov,1157
dhs-gov,1093
national-institute-of-standards-and-technology,1087
state-of-new-york,1050
ssa-gov,1037
city-of-chicago,1013
state-of-alaska,950
ed-gov,863
dot-gov,808
state-of-iowa,663
louisville-metro-government,635
state-of-connecticut,635
opentopography,589
city-of-tempe,561
cook-county-of-illinois,496
montgomery-county-of-maryland,470
state-of-oregon,469
dol-gov,465
state-gov,381
city-of-los-angeles,374
state-of-oklahoma,341
allegheny-county-city-of-pittsburgh-western-pa-regional-data-center,328
king-county-washington,298
city-of-ferndale-michigan,285
city-of-bloomington,256
city-of-seattle,252
city-of-baton-rouge,249
fema-gov,248
treasury-gov,233
hud-gov,220
city-of-sioux-falls,216
city-of-providence,208
federal-laboratory-consortium,200
city-of-new-orleans,193
mcc-gov,181
arlington-county,175
dod-gov,175
vcgi-org,173
state-of-missouri,169
gsa-gov,168
board-of-governors-of-the-federal-reserve-system,166
state-of-hawaii,151
loudoun-county-virginia,139
nitrd-gov,137
eeoc-gov,136
opm-gov,134
uidaho-edu,111
nrc-gov,96
federal-trade-commission,95
fairfax-county-virginia,94
usitc-gov,93
arkansas-gov,85
rrb-gov,82
ibwc-gov,79
city-of-honolulu,75
nsf-gov,70
city-of-hartford,66
town-of-cary-north-carolina,66
sba-gov,57
fcc-gov,53
nara-gov,50
neh-gov,48
americorps-gov,46
city-of-baltimore,43
imls-gov,42
city-of-somerville,41
sec-gov,40
fhfa-gov,38
national-credit-union-administration,36
town-of-chapel-hill-north-carolina,32
u-s-department-of-labor-bureau-of-labor-statistics,31
usgs-gov,28
city-of-chesapeake,21
cfpb-gov,11
pbgc-gov,10
fdic-gov,9
library-of-congress,9
cpsc-gov,8
commodity-futures-trading-commission,7
eac-gov,6
federal-retirement-thrift-investment-board,6
city-of-san-francisco,4
onhir-gov,4
florida-department-of-environmental-protection,3
office-of-management-and-budget,3
usace-army-mil,3
mspb-gov,2
national-telecommunications-and-information-administration,2
pennsylvania-geospatial-data-clearinghouse,2
exim-gov,1
fec-gov,1
fgdc-gov,1
ntsb-gov,1
wvu-edu,1
